Activity Date,Trans Code,Quantity,Price,Amount,Ticker
2015-06-18,Dividend,976.1471,475.05,19800.13,AYG
2023-12-21,Dividend,7.8496,1017.18,41620.18,IGI
2011-06-08,Buy,552.3654,467.97,35129.46,ELVx
2013-11-08,Withdrawal,0.0,1211.25,-48911.62,OKS
2023-06-22,Dividend,450.9723,824.19,-16417.38,ZRB.
2019-04-20,Buy,0.0,1588.44,-41548.79,FHZ
2019-09-25,Dividend,503.8353,406.92,38480.81,ELTb
2019-06-03,Withdrawal,0.0,313.85,-20779.7,IVI.
2011-04-17,Deposit,0.0,642.94,-25421.57,WBUt
2016-03-11,Sell,0.0,1816.2,30719.03,ZNC.
2024-07-09,Buy,554.8791,67.8,22522.71,TREx
2016-12-09,Split,117.7803,1961.23,18411.31,ICME
2013-02-27,Dividend,380.2458,1278.12,8403.5,WIQ.
2021-07-14,Deposit,900.8932,536.79,-47750.47,FJD
2019-10-12,Buy,114.0189,281.53,10374.53,LET.
2020-07-04,Buy,337.5468,1486.62,18613.28,KKFL
2025-11-10,Deposit,766.9027,1219.35,4034.57,PIU
2020-09-22,Buy,0.0,1893.71,-20862.12,FDK.
2014-09-15,Withdrawal,0.0,128.15,-22158.68,UIN.
2015-11-05,Deposit,311.7687,711.62,29057.9,DZL.
2013-01-31,Sell,792.7088,1075.66,-20021.28,JWRQ
2016-10-27,Withdrawal,790.9828,1842.14,46892.64,UJU
2024-12-28,Split,664.4653,1240.76,34593.73,DXVW
2017-02-17,Deposit,639.1501,452.34,12084.12,TQG
2020-02-14,Split,664.6724,363.44,9072.76,WUR
2020-09-16,Deposit,10.3467,411.27,-14171.9,IQBt
2018-08-26,Buy,8.4182,104.41,7176.43,TCXn
2022-09-19,Split,0.0,112.45,-16743.47,SFNh
2011-02-23,Split,707.6935,1598.44,-49789.02,VIFh
2024-07-28,Dividend,61.543,724.39,-8038.61,GCYl
2014-05-14,Dividend,0.0,1864.51,38038.91,TGE
2020-03-15,Split,270.6536,1539.06,-10758.56,HNE.
2012-09-19,Buy,517.8244,122.05,31943.77,OEDJ
2023-03-16,Withdrawal,979.5139,988.77,24978.85,EVJM
2021-04-09,Buy,593.9827,1958.58,46523.88,YKHS
2018-11-26,Buy,367.7116,1770.53,-2932.42,XDI
2022-11-23,Sell,381.4296,1902.71,-24763.45,ODIB
2017-08-04,Dividend,912.8217,1997.39,6928.45,EDB
2021-10-16,Dividend,525.0513,473.95,-3027.63,JZD
2011-12-04,Buy,46.5443,1425.36,35258.08,EMCz
2018-01-29,Sell,412.8638,1188.07,-44067.02,WWY.
2024-06-06,Buy,238.314,1682.44,24064.39,CSOj
2010-08-27,Dividend,358.6612,1480.02,-15130.81,TZV
2020-03-26,Dividend,577.6062,1400.8,-4681.53,FYZN
2011-02-17,Buy,0.0,1866.43,21416.71,QJJ
2024-03-24,Withdrawal,31.2009,230.24,-36060.45,OSH
2025-11-27,Split,94.4945,1583.04,9564.19,QST.
2021-12-15,Sell,365.1415,131.3,-3151.27,ISDs
2017-05-07,Buy,148.0791,127.5,-36124.7,BHIl
2019-02-11,Buy,0.0,596.6,-34928.63,LJR.
2021-07-07,Deposit,0.0,658.64,38615.12,GRX.
2022-10-07,Buy,228.05,781.17,-15011.98,DYW
2019-11-19,Split,968.5984,1374.83,-56.65,BVY.
2012-10-09,Sell,954.8557,667.89,-46644.47,AIV
2016-08-18,Deposit,0.0,832.21,-36529.87,BYXA
2018-10-09,Deposit,433.2459,1808.34,29585.08,JUY
2020-05-06,Dividend,0.0,749.51,27095.32,VHM.
2013-07-19,Split,826.1717,1447.45,4220.32,FLM.
2012-10-09,Dividend,896.7954,864.7,3571.74,GAE.
2021-06-08,Split,200.9947,1861.0,38253.34,XXK.
2018-07-06,Deposit,152.7589,582.04,38542.61,NTC
