Date,Activity,Ticker,Quantity,Price,Amount
2021-01-11,Buy,AMZN,10,187.37,1873.7
2021-05-31,Sell,MSFT,10,489.94,4899.4
2023-01-07,Buy,TSLA,73,242.3,17687.9
2023-05-27,Buy,GOOG,13,105.43,1370.59
2022-05-16,Sell,MSFT,86,185.21,15928.06
2023-07-10,Dividend,AMZN,4,205.34,25.64
2021-06-09,Buy,AAPL,26,170.19,4424.94
2022-12-20,Buy,AAPL,29,368.88,10697.52
2025-03-11,Dividend,AAPL,11,488.8,11.98
2023-02-27,Dividend,AMZN,1,266.49,40.54
2025-08-20,Sell,AAPL,14,175.55,2457.7
2023-02-09,Buy,AAPL,61,131.38,8014.18
2022-04-06,Sell,GOOG,57,203.56,11602.92
2023-11-04,Sell,TSLA,74,247.53,18317.22
2025-07-08,Sell,MSFT,23,444.98,10234.54
2022-07-03,Buy,GOOG,30,360.0,10800.0
2022-01-29,Dividend,AAPL,82,416.2,4.33
2025-05-18,Dividend,TSLA,38,419.7,6.08
2025-07-14,Buy,AMZN,33,312.31,10306.23
2021-07-05,Sell,MSFT,99,407.53,40345.47
2025-03-18,Buy,AAPL,90,453.36,40802.4
2023-12-05,Sell,AAPL,53,287.18,15220.54
2025-01-13,Sell,MSFT,68,451.97,30733.96
2021-11-06,Dividend,TSLA,98,230.48,7.36
2022-09-03,Sell,AMZN,50,416.03,20801.5
2021-12-21,Dividend,AAPL,73,382.14,6.48
2025-09-06,Buy,AMZN,15,104.99,1574.85
2024-10-16,Buy,GOOG,41,125.51,5145.91
2024-02-26,Sell,MSFT,63,392.16,24706.08
2025-10-01,Buy,GOOG,54,180.96,9771.84
2022-11-30,Buy,AMZN,83,398.67,33089.61
2025-11-17,Buy,AMZN,39,256.21,9992.19
2024-12-18,Buy,MSFT,58,481.57,27931.06
2022-05-23,Buy,GOOG,90,191.23,17210.7
2025-03-21,Buy,AAPL,71,206.13,14635.23
2021-09-27,Dividend,AAPL,51,457.09,45.12
2021-12-28,Dividend,AAPL,98,357.19,36.85
2025-09-16,Sell,GOOG,39,286.21,11162.19
2025-03-06,Sell,GOOG,26,61.66,1603.16
2021-09-11,Dividend,AMZN,82,415.82,36.79
2023-06-26,Buy,MSFT,83,407.48,33820.84
2023-06-18,Dividend,MSFT,89,79.14,2.95
2023-12-31,Dividend,AAPL,88,133.04,32.84
2021-12-09,Buy,AMZN,93,309.1,28746.3
2021-07-17,Sell,TSLA,66,151.71,10012.86
2023-07-06,Buy,AMZN,50,416.86,20843.0
2022-07-17,Dividend,GOOG,56,448.25,46.08
2024-12-02,Dividend,AMZN,77,210.7,27.69
2021-12-30,Sell,MSFT,43,139.91,6016.13
2022-05-08,Buy,AAPL,37,421.53,15596.61
2022-11-21,Buy,TSLA,61,107.01,6527.61
2022-09-11,Dividend,TSLA,50,101.88,19.87
2024-08-30,Buy,GOOG,41,195.06,7997.46
2025-09-20,Dividend,GOOG,22,252.16,35.66
2024-03-25,Buy,GOOG,23,213.3,4905.9
2024-07-16,Sell,MSFT,5,334.12,1670.6
2024-03-27,Sell,GOOG,39,144.52,5636.28
2021-05-01,Dividend,AAPL,98,101.19,23.58
2023-05-31,Buy,MSFT,63,148.37,9347.31
2021-09-23,Dividend,AMZN,88,273.31,14.48
2023-08-10,Sell,GOOG,89,239.05,21275.45
2023-01-14,Buy,GOOG,31,174.07,5396.17
2022-03-27,Dividend,AAPL,3,377.85,37.37
2025-01-19,Buy,GOOG,8,295.26,2362.08
2025-06-04,Sell,AAPL,86,205.51,17673.86
2022-05-08,Buy,GOOG,45,232.68,10470.6
2021-04-05,Sell,AAPL,60,383.4,23004.0
2022-01-23,Buy,AMZN,48,374.14,17958.72
2022-04-14,Sell,GOOG,21,230.68,4844.28
2023-06-27,Buy,MSFT,71,148.77,10562.67
2021-05-03,Dividend,AAPL,62,264.94,42.86
2021-04-08,Dividend,AAPL,41,295.83,27.79
2023-01-13,Buy,GOOG,31,245.98,7625.38
2020-12-18,Buy,TSLA,49,424.41,20796.09
2022-09-19,Dividend,MSFT,33,437.13,5.53
2025-09-25,Dividend,AAPL,100,380.18,2.09
2023-06-11,Dividend,AAPL,48,302.01,18.38
2023-09-17,Buy,AAPL,78,215.81,16833.18
2023-08-24,Sell,AMZN,42,272.51,11445.42
2025-06-23,Sell,GOOG,95,301.82,28672.9
2022-08-08,Sell,TSLA,61,361.02,22022.22
2021-04-18,Buy,MSFT,55,331.98,18258.9
2023-01-09,Dividend,GOOG,48,78.1,23.05
2025-02-19,Dividend,AAPL,27,369.06,23.54
2025-08-21,Sell,AAPL,16,208.46,3335.36
2023-08-21,Sell,MSFT,10,227.51,2275.1
2025-05-24,Dividend,MSFT,98,123.97,8.98
2023-11-17,Sell,TSLA,93,159.91,14871.63
2023-09-19,Dividend,GOOG,8,422.02,30.61
2023-04-06,Buy,GOOG,7,163.19,1142.33
